distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
93937590,2017-12-01 19:15:00,2018-01-07 01:42:26.406,15340,5,13.245,5,11,152929,,
49039048,2018-06-30 21:59:57,2018-07-19 10:57:44.043,621,16,50.781,3,6,6204,,15
38109793,2017-05-04 12:49:00,2017-06-08 03:02:26.807,11686,1,3.127,,54,116943,,53841
47079875,2018-08-28 18:48:23,2018-09-16 22:14:25.329,6598,58,207.983,9,28,63468,,36935
11320828,2017-04-10 07:38:00,2018-03-07 16:30:04.026,10032,40,155.791,33,46,100611,,86575
129361066,2020-10-09 21:37:47,2020-10-10 19:57:30.021,495,447,3144.279,236,8,4950,4422,
49542395,2017-07-28 17:34:00,2019-03-14 23:49:18.164,1692,66,267.894,9,12,16892,,907
46254298,2020-01-10 11:33:15,2020-03-11 13:40:54.727,1598,46,173.619,40,22,15980,,6563
128579886,2020-10-30 20:49:38,2020-10-30 20:51:08.478,1292,48,247.974,5,42,12945,,1262
40583748,2018-02-04 22:55:35,2018-02-19 12:37:39.652,2078,29,203.375,10,37,20741,,18510
144615063,2020-10-26 23:42:16,2020-10-27 00:21:05.548,11292,6,14.138,1,75,110695,,6496
77528507,2017-12-27 09:48:03,2020-08-15 00:23:12.094,6150,33,195.242,31,87,60084,,30089
83440140,2019-04-27 12:40:44,2019-04-27 12:52:53.818,7752,8,25.188,8,6,77287,546,27716
96063548,2017-03-26 00:54:00,2017-03-26 02:38:32.47,11604,37,118.469,11,38,116093,,94490
18662854,2018-05-11 14:50:37,2018-07-25 10:16:37.99,1450,1,4.374,,3,14486,,
130315814,2020-12-09 18:10:17,2020-12-31 12:16:38.153,615,933,5244.188,659,99,6150,2595,273
20797389,2017-03-21 09:49:00,2020-02-28 22:13:50.201,2822,2,6.482,1,18,28212,,3
97297569,2019-03-12 06:49:19,2019-03-24 15:46:51.769,6340,18,132.942,18,83,63404,,48843
58756514,2019-02-21 07:34:46,2020-02-04 14:03:30.264,6626,4,20.188,4,62,65944,,49089
97785857,,2018-06-12 23:32:35.82,5820,43,273.588,7,34,53829,,38916
18032629,2019-05-28 10:18:31,2019-05-28 13:54:20.588,1011,22,67.186,,65,10107,,2
37422044,2018-03-20 22:04:58,2020-06-01 17:50:27.855,2222,31,115.877,6,93,22337,,4178
110148071,2020-11-27 13:29:51,2020-12-04 02:55:28.426,528,276,1616.406,268,26,5279,930,24
10671095,2019-08-09 16:04:55,2019-08-17 13:29:36.319,3700,67,215.147,60,70,36915,60,6200
62617937,2018-04-14 15:59:11,2020-02-12 23:17:29.718,12156,3,8.110,,47,121534,,2752
120825542,2020-04-29 23:29:13,2020-05-25 03:11:38.154,3185,17,58.021,8,38,31849,60,2299
76750125,2017-09-24 14:07:00,2017-10-02 16:23:45.677,5828,58,227.246,30,74,58400,,25009
88428259,2020-01-27 23:00:35,2020-02-03 03:40:02.319,764,1,4.777,,61,7640,,3647
78065534,2019-02-05 04:45:17,2019-04-05 19:23:10.41,4941,65,274.148,1,55,49589,,25381
26024371,2017-05-12 16:40:00,2020-03-08 14:42:02.129,2994,56,270.566,52,114,29951,60,22953
67175410,2017-10-23 20:36:00,2020-02-18 22:04:25.325,5249,139,526.197,52,46,52443,,2393
144727214,2020-10-21 21:31:12,2021-01-01 16:31:27.395,7188,437,3160.689,97,32,71878,6156,60020
13918961,2017-05-18 17:13:00,2017-06-19 21:47:17.564,1525,4,19.354,,23,15365,,5654
82734505,2018-11-22 09:14:55,2019-01-30 14:56:28.638,824,12,35.801,,30,8240,,24
89131608,2017-07-11 11:51:00,2017-07-14 12:43:34.421,2844,50,149.630,12,11,28434,10,517
76694304,2017-03-07 08:11:00,2017-03-30 18:19:02.648,1238,2,4.195,,72,12303,,4197
114782861,2020-03-26 15:12:56,2020-04-23 10:15:39.842,377,8,19.263,,19,3771,,396
102176660,2020-01-30 17:36:10,2020-06-17 06:26:14.244,2106,1,4.420,,41,21062,,
35450395,2018-02-05 12:22:19,2018-02-06 16:26:22.388,7340,52,350.885,29,24,73381,10,3425
98925206,2017-04-22 09:50:00,2017-06-11 14:43:45.161,8227,1,1.315,,14,82269,,23302
47733894,2017-05-09 15:40:00,2017-06-21 07:31:57.999,14459,26,210.907,11,47,141641,,97383
88630009,2019-07-24 21:59:24,2019-07-25 03:09:11.475,948,71,432.941,35,14,9511,40,4929
47452743,2019-10-25 18:19:23,2019-10-31 13:55:24.83,2529,6,20.061,6,84,25290,,23895
140924717,2020-11-23 19:28:15,2020-11-23 22:33:31.512,2701,8,28.072,,28,27008,,819
140401628,2020-10-16 14:24:50,2020-10-23 19:32:22.08,5929,437,2940.824,89,7,59294,120,
82716855,2018-01-01 01:52:00,2018-01-02 19:28:47.607,7384,3,9.839,3,33,73421,,55166
61957185,2018-03-14 21:27:55,2019-11-06 11:52:11.935,1072,1,4.021,,12,10231,,7
127652690,2020-06-14 17:12:05,2021-01-04 01:50:54.254,3881,8,39.225,3,66,38800,,36910
