distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
128066583,2020-07-13 13:53:45,2020-07-31 14:12:18.159,23785,39,172.085,9,27,237904,,15502
85637322,2017-02-08 22:26:00,2017-09-19 16:29:17.156,17708,20,72.106,19,20,177068,,143313
40828032,2019-12-15 17:06:14,2019-12-15 17:08:55.564,27450,8,48.357,,1,271802,,22
103404567,2020-02-10 00:15:31,2020-02-11 12:45:28.776,30482,95,462.539,94,44,275062,682,204869
74937797,2017-05-11 19:18:00,2018-03-25 02:38:27.961,19076,13,56.175,,31,190742,,177036
101176784,2020-02-07 22:36:41,2020-02-15 04:20:38.351,17655,11,38.793,11,82,177233,,7518
103028810,2020-02-06 13:40:44,2020-03-03 05:36:17.606,28782,51,345.297,1,16,287876,,4464
87195353,2019-06-04 08:47:06,2019-06-05 19:51:52.902,21422,1,4.691,,18,214220,,1105
33577397,2018-08-18 06:35:50,2018-08-22 19:31:16.666,18364,277,1030.505,277,12,179695,238,101979
35589892,2019-05-15 04:28:34,2019-12-17 17:01:03.614,17183,1,6.364,,41,171830,,153856
54479722,,2017-01-03 14:45:19.236,18204,35,135.236,35,37,100386,,65963
143672691,2020-11-17 22:12:49,2020-11-17 22:19:05.28,28554,4,9.461,4,150,285873,,214663
76959765,2019-12-25 23:05:41,2020-07-23 06:24:09.389,18914,9,29.141,,2,189153,,8
22363033,2019-04-29 21:22:05,2019-05-21 13:15:43.581,20188,91,538.489,9,71,201876,,153
117968561,2020-11-02 10:56:52,2020-11-02 11:01:14.434,28583,43,154.406,16,44,285807,,6393
117167811,2020-11-27 22:43:36,2020-11-27 23:00:50.487,16822,63,222.330,57,85,168150,,141202
51901945,2017-09-26 20:07:00,2019-05-13 06:48:07.756,26656,1,2.441,,16,266548,80,5986
58933004,2018-01-21 22:26:45,2020-10-12 02:34:02.535,24184,3,8.710,3,20,240738,,167116
36427434,2017-09-27 19:32:00,2019-05-04 12:42:20.982,32494,8,24.459,7,65,327580,,302891
64077122,2017-11-17 15:46:00,2020-01-27 22:23:44.727,16844,29,83.521,17,33,168466,,117774
119239904,2020-03-15 01:52:46,2020-12-17 06:23:32.571,30316,2,3.940,2,47,297639,,209210
24405118,2017-08-10 17:09:00,2017-08-13 00:34:30.182,23880,9,12.712,9,9,229537,,165918
85349524,2017-06-02 14:07:00,2017-06-14 02:44:41.216,35686,150,623.842,108,29,352960,250,11
53965758,2019-03-23 13:32:45,2019-03-23 13:45:43.611,16950,26,109.801,24,149,145633,100,123721
87209702,2017-05-25 17:27:00,2017-09-24 00:15:20.334,19686,49,155.566,3,33,196576,,876
69210578,,2017-01-02 12:10:09.774,34980,1,2.174,,17,349372,,7
39876830,2017-04-12 16:47:00,2017-04-28 01:13:19.238,23224,1,5.784,,29,232240,,
36739033,2017-11-19 20:53:47,2018-01-20 18:42:18.586,28186,8,27.608,,39,282061,,153
94379424,2017-06-02 18:27:00,2018-01-21 17:43:01.373,40250,265,2229.678,73,13,402473,680,119
95839352,2018-07-12 09:44:05,2018-07-22 07:39:14.013,23607,3,10.246,,13,236071,,52
79280517,2017-01-29 08:55:00,2019-05-31 07:51:44.841,21856,10,35.240,3,23,216613,,77749
138953464,2020-05-28 06:59:55,2020-05-28 08:20:15.589,16206,56,90.675,56,8,158500,,16228
38016082,2017-05-09 21:45:00,2017-05-20 19:21:57.952,32746,7,17.228,7,110,327033,,188781
106473825,2020-02-09 01:27:15,2020-04-16 02:40:04.308,63312,15,38.738,10,72,630498,,527394
59671063,2017-03-03 09:05:00,2017-03-28 22:31:20.194,27208,29,108.893,15,36,272091,,177874
135298585,2020-07-14 02:07:49,2020-07-14 03:08:46.205,34734,22,64.224,8,108,347337,,73884
25403534,2019-06-06 17:05:46,2019-06-24 14:20:35.227,21572,39,164.594,3,38,215746,,241
62072557,2017-11-30 19:30:44,2018-04-04 18:07:38.522,24646,95,296.336,11,43,238297,,110072
55194226,2017-09-21 22:34:00,2017-09-22 18:35:51.324,25150,27,88.629,12,66,251492,,665
30371906,2017-04-07 11:34:00,2017-05-28 05:13:47.502,37618,1,2.042,,16,378237,,91301
93378993,2017-07-22 15:41:00,2017-08-27 09:10:50.568,27378,3,12.876,3,45,273790,,3430
127014727,2020-09-09 06:19:27,2020-10-05 20:51:02.994,35858,3,6.975,,5,358423,,13
119223366,2020-08-04 08:43:19,2020-09-15 12:15:14.681,19914,14,80.014,9,96,199009,,2767
50162019,,2017-01-01 14:35:51.916,59308,10,37.125,10,6,593080,,
26402481,2018-01-21 13:05:13,2021-01-14 15:11:29.995,27190,1,0.962,,68,271847,,172567
28101180,2017-07-12 12:18:00,2017-11-12 20:16:33.556,54694,103,366.923,45,73,546941,,192
69819179,,2017-01-27 18:14:37.965,31292,2,10.124,1,17,313006,,143
95560344,2019-08-25 08:53:37,2019-08-27 16:17:56.224,26234,7,8.547,7,53,262365,,1022
59814532,2017-12-14 11:23:00,2018-01-14 13:20:58.678,16594,39,272.711,24,41,166002,,137679
93899727,,2019-04-13 18:31:34.347,16134,13,41.429,,42,160901,,123539
80750557,2017-08-14 18:17:00,2018-02-16 13:29:54.912,18064,4,11.678,,9,180640,,2303
11229248,2017-01-25 20:17:00,2017-05-20 03:30:35.505,33220,207,764.550,200,64,334697,1320,214482
80852827,2017-01-21 01:06:00,2017-01-22 08:15:07.395,46056,37,110.844,30,51,496685,416,97434
18630842,2019-05-05 18:33:20,2019-05-05 18:41:57.972,18448,28,103.771,,1,185891,,3393
50751668,2017-12-24 19:22:33,2018-07-22 23:41:41.171,43368,9,32.335,8,64,433842,,286422
117965441,2020-11-30 06:29:14,2020-12-01 18:41:51.146,25577,2,17.017,2,41,255809,,330
98712791,,2018-12-18 13:10:22.426,19262,2,6.216,,19,190802,,7703
83686069,2017-02-24 15:14:00,2017-05-18 02:23:25.944,46730,2,13.082,,62,467053,,29098
107882129,2020-02-02 22:08:18,2020-03-15 21:47:30.867,54191,310,2763.546,18,59,541926,75,7
80790679,2017-03-09 20:00:00,2017-12-17 20:48:30.825,28446,5,18.663,,20,284407,,669
126421796,2020-03-27 12:45:11,2020-12-02 12:27:45.54,19796,4,9.181,4,20,188891,,82072
78963219,2018-03-16 20:31:30,2019-07-30 13:08:07.227,16898,2,19.074,2,30,180922,,85400
distinct_id,,,,,,,,,,
88051743,2018-04-27 03:15:30,2020-02-01 12:23:51.577,21788,1,4.549,,132,217874,,98997
26598696,2019-11-10 17:49:38,2020-08-16 14:01:50.508,40386,1,4.198,,27,403814,,1202
44868166,2017-02-22 00:04:00,2017-03-24 13:29:51.39,19504,16,54.949,,24,170953,,128491
45579613,2017-07-01 16:46:00,2020-07-29 23:14:45.36,19473,47,149.428,6,30,194674,,3205
62854072,2018-02-03 09:46:17,2018-02-16 14:42:24.533,20766,45,182.083,8,64,207558,,153
15003705,2017-02-10 20:58:00,2017-03-24 10:57:56.723,17924,1,3.170,,39,179015,,7356
82439536,2018-12-11 15:15:54,2019-01-06 21:10:44.434,16772,1,1.965,,22,167718,,71
95321191,2018-01-06 13:24:00,2018-03-28 15:32:08.277,19472,14,56.082,10,63,384061,,312557
98248280,2017-03-30 03:26:00,2017-05-21 13:02:32.249,30856,4,23.245,,48,308860,,306511
33379893,2017-06-06 01:13:00,2018-03-26 10:34:42.384,16716,101,664.149,7,80,165098,50,150073
10614686,2016-12-12 08:49:00,2017-06-13 23:17:56.195,19510,4,17.808,3,27,196825,,24677
62243541,,2017-05-26 11:05:38.457,23184,87,536.899,63,70,231870,,111736
22386892,2017-07-12 16:10:00,2017-07-12 18:36:05.189,55842,34,246.102,11,26,553777,142,110305
79612560,2017-11-11 12:12:00,2019-03-20 02:11:43.654,24904,2,10.411,,79,249022,,220536
34621620,2019-05-29 17:15:09,2019-07-03 15:16:30.646,32808,49,174.353,31,50,327535,,229812
100932260,2020-02-02 22:54:11,2020-02-28 16:02:53.723,20069,5,15.279,5,,185460,,35933
135666797,2020-07-14 10:56:24,2020-07-16 15:36:32.703,18042,29,102.075,28,53,182307,42,38855
51487873,2019-06-14 13:02:15,2019-09-23 14:30:53.866,20146,1,6.429,1,4,201412,,31355
40998588,2017-03-14 21:58:00,2017-05-04 21:46:05.892,19994,3,16.118,2,14,199955,,161864
122710679,2020-10-16 02:26:33,2020-10-24 08:41:27.363,18010,22,63.164,22,68,185582,,145337
22892093,,2017-05-29 05:17:40.129,19530,10,76.324,10,36,201810,,108964
141344694,2020-03-28 22:58:42,2020-09-22 23:01:05.005,28832,1,1.840,,29,249488,,15613
97116821,,2017-11-26 00:03:00.155,35964,1,2.513,,13,345922,,158733
108712043,2020-02-25 02:29:14,2020-04-02 20:27:12.018,24396,1,4.054,1,12,243985,,211089
23958098,2017-12-01 00:16:00,2017-12-04 03:49:41.741,20946,7,23.979,,292,209477,,98964
58080776,2018-02-01 18:00:49,2020-02-13 16:11:23.763,19606,5,16.177,,136,188821,,30780
16367695,2017-10-15 16:11:00,2018-07-21 18:53:59.227,37668,38,122.706,5,24,374029,,349823
103636069,2020-02-23 20:32:15,2020-03-10 16:20:26.628,47794,292,2231.631,74,8,477934,9231,260702
73125152,2019-12-19 21:54:35,2019-12-20 02:33:14.595,31624,2,8.867,,29,315578,,12
43819157,,2017-01-11 14:56:48.42,16721,13,46.013,11,19,168255,680,80916
79592476,2020-01-15 03:04:35,2020-01-25 16:21:07.671,27014,1,3.458,,33,264146,,231843
87888572,2017-12-30 07:57:00,2018-10-02 12:31:57.498,18384,4,9.078,4,40,175725,,131597
51724976,2018-09-25 18:12:14,2018-09-25 21:40:27.522,48810,13,43.172,7,10,488183,,14469
96407329,2017-03-26 19:46:00,2017-04-09 11:35:25.124,39124,1,2.796,1,89,305897,128,251835
74983227,2017-06-12 07:25:00,2017-12-02 22:37:15.302,17504,1,3.107,1,52,173406,,68174
98841619,2017-05-01 19:42:00,2017-09-05 21:29:45.201,22285,1,6.678,1,33,222680,,139082
128111982,2020-10-21 01:16:20,2020-10-28 23:38:42.024,19208,15,39.503,15,57,204725,,196033
23200655,2018-11-27 15:08:07,2019-06-01 18:51:30.285,28690,7,17.229,7,89,286805,,241675
96851072,2017-11-22 22:57:00,2018-02-13 14:20:15.608,51179,1,5.066,1,7,500939,,1575
54753900,2017-01-07 18:42:00,2018-08-11 13:21:18.827,25716,41,158.247,40,19,257148,125,20067
25916177,2017-03-15 06:34:00,2017-05-14 13:15:24.018,30602,24,121.214,15,18,308681,,5956
131782686,2020-11-23 21:33:05,2020-12-06 19:22:38.215,20281,3,2.827,3,77,202826,,140109
26078589,2019-05-11 11:26:46,2019-06-28 08:40:45.392,20452,31,105.135,31,40,204518,,5002
21925368,2017-03-08 19:47:00,2017-06-07 21:10:50.564,36060,5,12.172,,79,357673,,5474
33050867,2017-03-12 11:26:00,2017-03-25 20:19:51.241,24021,4,9.180,4,101,240255,,216974
50423339,2019-08-09 02:21:44,2020-04-10 17:42:08.916,31956,12,42.120,8,58,319600,,287260
55165780,2017-01-27 00:30:00,2017-04-26 16:12:51.141,18615,11,56.716,1,83,185720,,88774
71071400,2017-05-20 17:16:00,2017-05-25 18:23:54.337,20216,7,19.313,7,71,203616,,169198
100507991,2020-02-11 11:59:41,2020-02-26 06:50:44.706,16890,1,5.380,,52,162004,,64
94194973,2018-11-18 18:56:19,2019-03-14 19:38:25.6,23088,12,49.855,,39,230879,,20
66054219,2018-03-18 20:56:49,2020-10-31 08:34:57.142,16724,53,187.948,,52,163682,,125788
57651869,2019-05-28 17:46:04,2019-06-15 23:22:08.726,18006,53,198.124,13,12,180066,,2
130822927,2020-12-25 00:30:17,2020-12-25 00:36:42.14,19696,6,13.053,6,33,197013,,61071
87090201,2018-02-02 18:04:59,2018-02-27 11:50:59.361,20372,8,30.887,7,63,196983,,10058
93136954,2017-02-17 16:43:00,2019-06-15 13:09:12.822,18082,107,382.082,99,42,181245,60,73094
82741489,2019-01-04 18:52:07,2019-01-04 20:10:59.184,17689,380,1418.809,354,5,179068,60,87635
68744433,2018-02-04 08:57:06,2020-12-11 18:31:01.485,19816,17,61.565,15,42,201899,173,119346
126671721,2020-08-18 19:21:07,2020-09-03 00:44:24.667,18794,13,45.505,,104,184052,,115953
17389544,2017-02-23 23:41:00,2018-05-27 23:25:49.898,40822,1,4.158,,31,408196,,611
